titulo,link,data,texto
"Vigipós 25 anos - Passado, presente e futuro da vigilância pós-comercialização",https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2026/vigipos-25-anos-passado-presente-e-futuro-da-vigilancia-pos-comercializacao,28/05/2026,"AVigipós, como é conhecida, é o trabalho de olhar e monitorar os produtos voltados para a saúdeejá em uso pela população. O objetivo éantecipare identificarproblemasparaevitar o riscoà saúde das pessoas. A vigilância de pós-mercadoé feitacom diferentes ferramentas,como o recebimento eaanálise de notificações enviadas por profissionais de saúde e pela população em geral, pelo acompanhamento de alertas em outros países epelaatualização de publicações científicas que tragam novas informações de risco e benefício de produtos já em uso. Durante a aberturado evento que celebra os 25 anos desse relevante trabalho, nesta quinta-feira (28/5),o diretor Thiago Campo, responsável pela supervisão do monitoramentonaAnvisa,destacou que aVigipósestá no centro da missão do SUSprevista na Constituição de 1988,que é reduzir riscos de doenças e de outros agravos à saúde.Segundo ele,ainda é um desafio ampliar a capacidade de análise de dados para agirdiante do sinal de qualquer risco. Ainda de acordo com o diretor, diferentes desafios atuais daAnvisa, nas áreas deregistro, por exemplo,passam pelomonitoramentoefetivo do quejáestá nomercado.“A soluçãoestáem deslocar para o pós-mercado a atenção e dar a força necessária para queaVigipósseja aquilo que vai de fato proteger as pessoas quandofazem uso dos produtos regulados pelaAnvisa”, defendeu Campos. Já o diretor-presidente daAnvisa, LeandroSafatle, ressaltou que a mudança deperspectivaque dê mais peso ao trabalho depós-mercado tem capacidade de mudar o paradigma e caminhos da avaliação regulatória.“A vigilância de pós comercialização é talvez a prova mais concreta do compromisso do Estadocom a vida, é a provadeque o Brasil tem capacidadetécnica,institucional e humana de proteger sua população”, destacouSafatle. Participam do evento diferentes pessoas que foram importantes para a construção do sistema ao longo dos últimos 25 anos. Novo sistema Na quarta-feira (27/5),a Diretoria Colegiada daAnvisaaprovoua consulta pública paraa criação do Sistema Nacional deFarmacovigilância(Sinaf), que funcionará como um subsistema integrado ao Sistema Nacional de Vigilância Sanitária (SNVS). O principal objetivo da iniciativa é formalizar uma estrutura de governança cooperativa capaz de monitorar, de forma contínua, os riscos e eventos adversos associados ao uso de medicamentos após a sua entrada no mercado de consumo. Confira a programação completado evento Veja mais fotos do eventono Flickr da Anvisa. Use as setas à esquerda e à direita para navegar e clique na foto para a acessar em diferentes resoluções Acompanhe ou reveja o evento“25 anos doVigipós- Passado, presente e futuro da vigilância pós-comercialização”pelo canal daAnvisanoYouTube. "
Anvisa proíbe venda de suplementos alimentares irregulares,https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2026/anvisa-proibe-venda-de-suplementos-alimentares-irregulares,28/05/2026,"A Agência Nacional de Vigilância Sanitária (Anvisa) determinou, nesta quinta-feira (28/05), a apreensão do suplemento alimentar líquidoRejuvita30ml, fabricado pela empresaRejuvitaLtda (CNPJ: 46.476.729/0001-30). AResolução 2.131/2026também proíbe avenda,adistribuição,afabricação,apropaganda e o uso do produto. O produtoRejuvita30 ML, divulgado como suplemento alimentar, apresenta indícios de irregularidade sanitária por veicular alegações não permitidas,como efeitos “anti-idade”, “renovação profunda da pele” e “dermocosmético oral”,o queinduz o consumidor a erro.O produto apresenta ainda a informaçãodeque é “100% regularizado e aprovado pela Anvisa”é enganosa,além dehaveroutrasinconsistênciasquanto à identificação do fabricante. MaybenPharmaceutical Já aResolução2.129/2026ordenou o recolhimentode todos os suplementos alimentares fabricados pela empresaMaybenPharmaceutical Ltda(CNPJ: 31170914000124).A comercialização,adistribuição,afabricação,adivulgação eouso ficam suspensos. Confira os itens que sofreramsanções fiscais: Suplemento alimentar em solução à base delactulose, marcasLactbeneLactuloseNativida Suplemento alimentar em comprimidos à base de cálcio e vitamina D, marcaCalciobenD Suplemento alimentar em comprimidos à base de cálcio, marcaCalcioben Suplemento alimentar em pó de carboidrato e eletrólitos, marcaAqualev Durante inspeção sanitária realizada entreos dias25 e 26de abril, foi constatado que a empresa apresenta falhas graves nas Boas Práticas de Fabricação, como: estrutura e limpeza inadequadas, falta de controle de temperatura e umidade, exaustão ineficiente, equipamentos danificados, uso de matérias-primas vencidas,mistura inadequada entre linhas deprodução,ausência de lavatórios e materiais para higienização das mãos, falhas na rastreabilidade e uso de embalagens impróprias.          "
Anvisa proíbe creme redutor de medidas por falta de registro,https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2026/anvisa-proibe-creme-redutor-de-medidas-por-falta-de-registro,28/05/2026,"Uma medida publicada pela Agência Nacional de Vigilância Sanitária (Anvisa) nesta quinta-feira (28/5) determinou a proibição da venda, da distribuição, da divulgação e do uso do creme redutor de medidas Popozuda BumbumBrazil, da empresa JSA Indústria de Cosméticos Ltda (CNPJ: 38479255000151). Além da proibição, a ação fiscal determina o recolhimento de todos os lotes do produto, a ação fiscal determina o recolhimento dos produtos. Apesar de ser comercializado e divulgado, o creme não possui registro na Anvisa. AC2 Pro Dub Boyz A Agência também determinou o recolhimento e proibiu o uso do saneante AC2 Pro Dub Boyz, fabricado pela empresa Qualy Química Ltda (CNPJ: 08185734000102). Foi constatada a venda e a divulgação do produto que, além de não ter registro sanitário, está classificado de forma incorreta em relação ao risco. Podutos saneantes são classificados em duas categorias - Risco 1 e Risco 2 - de acordo com o potencial de dano à saúde. ConfiraResolução 2.128/2026não foi mais no Diário Oficial da União."
Anvisa determina recolhimento de coco ralado da marca Casa de Mãe,https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2026/anvisa-determina-recolhimento-de-coco-ralado-da-marca-casa-de-mae,28/05/2026,"A Agência Nacional de Vigilância Sanitária (Anvisa) determinou, nesta quinta-feira (28/5), o recolhimento dolote13/25do coco ralado da marca Casa de Mãe.Laudo feito pelo Lacen/DF apontou resultadoinsatisfatório no ensaioquantitativo de dióxido de enxofre no produto.Apesar deasubstânciaserautorizada como conservante de alimentos,há limites estabelecidos para sua utilização. Além do recolhimento, a Anvisa determinou a suspensãoda distribuição,da venda, dadivulgação e douso do produto fabricado pela Qualicoco Ltda. (CNPJ: 04522379000665). Leia aResolução 2.133/2026noDiárioOficial da União (DOU)."
Anvisa aprimora transparência das filas de análise de produtos biológicos e radiofármacos,https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2026/anvisa-aprimora-transparencia-das-filas-de-analise-de-produtos-biologicos-e-radiofarmacos,28/05/2026,"A Agência Nacional de Vigilância Sanitária (Anvisa) comunica a implementação de mudanças na forma de disponibilização das filas de análise de petições relacionadas ao registro e pós-registro de produtos biológicos e radiofármacos na plataformaConsultas Anvisa. A medida tem como objetivo ampliar a transparência das ações da Agência e facilitar o acompanhamento por parte do setor regulado e da sociedade. Atualmente, a visualização das filas está organizada em três categorias distintas: fila ordinária, fila prioritária, nos termos daResoluçãoda DiretoriaColegiada (RDC)205/2017, e fila prioritária, conforme aRDC1.001/2025. Com a atualização, a estrutura passará a contar com apenas duas filas:fila ordináriaefila prioritária. Na nova configuração, a fila prioritária consolidará todas as petições de registro e alterações pós-registro que atendam aos critérios vigentes de priorização, independentemente da norma que fundamentou a concessão da prioridade. Adicionalmente, também serão incluídas nessa fila as petições inicialmente protocoladas como ordinárias, mas que posteriormente tiveram sua priorização aprovada pela Anvisa, a partir de solicitação da empresa e do cumprimento dos requisitos aplicáveis daRDC 1.001/2025. Até o momento, nos casos em que uma petição ordinária é priorizada, seu status é atualizado para “Petição priorizada aguardando análise técnica”, no sistema internoDatavisa. No entanto, essas petições não são refletidas nas filas prioritárias atualmente disponíveis na plataforma Consultas. Com a mudança, essas petições passarão a ser exibidas na fila prioritária, o que proporcionará uma visão mais completa e fiel do conjunto de processos em análise prioritária na Agência. A Anvisa destaca que a fila prioritária é dinâmica e poderá sofrer alterações ao longo do tempo, à medida que novas petições ordinárias tenham solicitação de priorização concedida, visto que a ordem cronológica é organizada pela data da submissão da petição principal. Com a nova forma de divulgação das filas, todas as petições priorizadas — independentemente da RDC que embasou a decisão — passam a ser apresentadas de maneira unificada, conferindo maior clareza e transparência ao processo regulatório. A iniciativa integra os esforços contínuos da Anvisa para fortalecer a transparência, a previsibilidade regulatória e a comunicação com os atores envolvidos, contribuindo para um ambiente regulatório mais claro e eficiente. Entenda as diferenças entre as priorizações previstas nas normativas vigentes A priorização de análises na Anvisa segue critérios definidos em normativas específicas, que estabelecem hipóteses e requisitos para que determinadas petições tenham tratamento mais célere. No caso de produtos biológicos e radiofármacos, destacam-se as regras previstas nasRDCs205/2017 e 1.001/2025. ARDC 205/2017estabelece critérios tradicionais de priorização, voltados principalmente a situações de relevância em saúde pública, como produtos destinados ao tratamento, diagnóstico ou prevenção de doenças raras. Já aRDC1.001/2025introduz uma abordagem mais ampla e atualizada para a priorização de petições, incorporando novos critérios e alinhamentos com práticas regulatórias internacionais. Essa normativa considera, por exemplo, aspectos relacionados à inovação, ao impacto sanitário e ao fortalecimento do acesso a produtos relevantes para a população. Apesar das diferenças nos critérios e no contexto de aplicação de cada normativa, ambas têm como objetivo comum permitir que produtos considerados estratégicos ou de maior relevância em saúde pública sejam analisados com maior celeridade. "
Anvisa institui Câmara Técnica de Biovigilância,https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2026/anvisa-institui-camara-tecnica-de-biovigilancia,27/05/2026,"A Agência Nacional de Vigilância Sanitária (Anvisa) passa a contar com uma Câmara Técnica de Biovigilância (Catebio). Instituída pelaPortaria 543/2026, a nova estrutura técnica está vinculada à Gerência-Geral de Monitoramento de Produtos Sujeitos à Vigilância Sanitária (GGMON) e possui caráter consultivo. A criação da Catebio fortalece a estrutura técnico-científica dedicada à vigilância pós-uso de células, tecidos e órgãos humanos em procedimentos de transplantes, enxertos e reprodução humana assistida no Brasil."
Anvisa fará consulta pública para criação do Sistema Nacional de Farmacovigilância,https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2026/anvisa-fara-consulta-publica-para-criacao-do-sistema-nacional-de-farmacovigilancia,27/05/2026,"A Agência Nacional de Vigilância Sanitária (Anvisa) aprovou nesta quarta-feira (27/5)proposta de Consulta Públicaque trata da minutadeResolução da Diretoria Colegiada (RDC) para acriação do Sistema Nacional de Farmacovigilância (Sinaf), que funcionarácomo um subsistema integrado ao Sistema Nacional de Vigilância Sanitária (SNVS). O principal objetivo da iniciativa é formalizar uma estrutura de governança cooperativa capaz de monitorar, de forma contínua, os riscos e eventos adversos associados ao uso de medicamentos após a sua entrada no mercado de consumo. Adecisãoocorreuna9ª Reunião Ordinária Pública da Diretoria Colegiada de 2026.O relator dapropostaaprovada, diretor substituto Marcelo Moreira, destacou em seu votoqueaminutado textonormativonasce com o propósito de estabelecer de formaobjetivaas responsabilidades eatribuiçõesdos diversosatoresenvolvidos.Aminutada RDC, que ficará sob consulta por 45dias, buscaaprimorar a gestão de riscosrelacionados ao uso de medicamentos, fortalecendo a segurança sanitáriae contribuindopara a proteção da saúde pública, emconsonânciacom os princípios constitucionaisdo federalismo cooperativo. Segundo ele, a criação doSinafreafirmaa missão institucional da Anvisa empavimentar um projeto regulatório nacional que não mais seja centradosomente nas ações de registro e autorização prévias,mas quetambémseja suportado por avaliações confiáveis de pós-mercado.“Essas são grandes fontes para o desenho de medidas regulatórias como alertas, cancelamentos de registro e regulamentações específicas, a exemplo da norma de controle de receitas para medicamentos agonistas do GLP-1”, destacou, emtrecho do voto. Cenário epidemiológicoA diretoria aprovou ainda umainstrução Normativa (IN)que atualizaa IN 389/2025a respeito das medidas de saúde temporárias a serem adotadas para portos e aeroportos frente ao atual cenário epidemiológico no Brasil. Em relação ao recente surto de Ebola na República Democrática do Congo (RDC) e em Uganda classificado pela Organização Mundial da Saúde (OMS)como Emergência de Saúde Pública de Importância Internacional, foimantido o estágio operacional demobilizaçãoe vigilância ativa.No momento, não há indicação de medidas restritivas para pessoas, meios de transporte, cargas e restos mortais. A novidade seráa divulgaçãodemateriais informativosdirecionados aos viajantes em áreas de desembarque internacional. A respeito do sarampo foram mantidas asações de vigilância epidemiológica e divulgação de materiais informativos, visando ampliar a sensibilidade para identificação precoce de casos suspeitos entre viajantes. Em relação àpoliomielite, não há recomendação de medidas de saúde para pontos de entrada do país. Sistema Nacional de Controle de Receituários A diretoria também aprovou alteraçõesRDC 1.000/2025, que estabeleceu os requisitos para notificações de receita, receitas de controle especial e receitas sujeitas à retenção emitidas em meio eletrônico.Entre elas está o estabelecimento do dia 30 de setembro de 2026 como teto temporal para que a Anvisa disponibilize a plataforma do Sistema Nacional de Controle de Receituários (SNCR). A partir desta data,o sistema passará a funcionar como a fonte única e centralizada para a geração de chaves e controle numérico nacional das receitas. O SNCRreceberá a requisição de numeração para a emissão eletrônica dos receituários eletrônico, bem como o respectivo registro de utilização. Outrasaprovaçõesdo dia envolverampropostasde IN para dispor sobre a alteração de monografias de ingredientes ativos na Relação de Ingredientes Ativos de Agrotóxicos, Saneantes,Desinfestantese Preservativos de Madeira, publicada por meio daIN 103/2021. Veja mais fotos da9ª Reunião Ordinária Pública da Diretoria Colegiada de 2026no Flickr da Anvisa. Use as setas à esquerda e à direita para navegar e clique na foto para a acessar em diferentes resoluções  Reveja a9ª Reunião Ordinária Pública da Diretoria Colegiada de 2026 no canal da Anvisa no YouTube "
27 anos dos medicamentos genéricos no Brasil,https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2026/27-anos-dos-medicamentos-genericos-no-brasil,26/05/2026,"Na manhã desta terça-feira (26/5), uma solenidadecomemorouos 27 anos dos medicamentos genéricos no Brasil.A cerimônia,realizadano auditório daAgência Nacional de Vigilância Sanitária (Anvisa),reuniuservidores econtou com as presenças do diretor-presidente da Agência, Leandro Safatle,e dosdiretoresThiago CamposeDaniela Marreco.Também participaram do evento osecretário-adjunto de Ciência, Tecnologia e Inovação em Saúde do Ministério da Saúde (SCTIE/MS), Eduardo Jorge, eopresidente-executivo daAssociação Brasileira das Indústrias de Medicamentos Genéricos e Biossimilares (Pró-Genéricos), Tiago de Moraes Vicente Leandro Safatle destacou que os genéricos sãohojeuma realidade no país, o que se comprovapelaboa aceitação desses produtos pela população brasileira. Segundo ele,muito disso se deveàcredibilidade que foi construída ao longo desses 27 anos. Leandro ressaltou: “A Anvisa veio junto com os genéricos e parte desse sucesso dos genéricos se deve ao trabalho que a Agênciafez”. “Isso significa acesso à saúde para a população brasileira.Hoje éum dia,de fato,para se comemorar, a Anvisa está muito orgulhosa de estar recebendo esse evento” finalizou. OdiretorThiago Camposfez questão de lembrarqueaLei dosGenéricostem o mesmotempode vida daAnvisa.Ao falar que a celebração da data é um marco significativopara o país, ele frisou que a celebração em um evento realizado na Agência é ainda maior. “Issomostrao quanto a gente andou junto,o quanto uma regulação estatal comprometida e alinhada com capacidade produtiva nacional para produção da nossa soberania sanitária é fortalecida quando caminham juntas”. A diretora Daniela Marreco também ressaltoua importância de comemoraros 27 anos dos medicamentos genéricos no Brasil. Segundo ela, os genéricosimpulsionaramo fortalecimento da produção nacional de medicamentos efacilitamo acesso aos medicamentospela população. “Os dados mostram que,quandoo primeiro genéricoentra no mercado,a gente temuma redução de 20% no preço daquele produto.Apartir da entradado terceiro genérico, já há uma redução superior a 50%.Isso faz com que a população tenha acessoa essesmedicamentos que,graças ao papel da Anvisa,têm a qualidade,asegurançaea eficácia comprovadas”,disseDaniela. Acesso amplo Quando a Lei 9.787/1999 entrou em vigor, foi estabelecido um novo capítulo na saúde pública, costurando uma rede mais resistente de fornecimento de medicamentos de alta qualidade por meio da promoção da concorrência no mercado farmacêutico. Com isso, foi possível reduzir a dependência de produtos exclusivos e atenuar os riscos de desabastecimento. Além disso, a intercambialidade entre medicamentos de marca e genéricos, atestada no país por rigorosos testes de bioequivalência, consolidou a confiança dos profissionais e consumidores nos genéricos, que hoje representam uma significativa economia para os usuários e para o sistema de saúde. A política impulsionou o acesso amplo a medicamentos, oferecendo-os a preços no mínimo 35% mais baixos em comparação aos de referência, beneficiando sobretudo a parcela de baixa renda da população. A estratégia de precificação dos genéricos se mostrou um elemento chave nesse processo. No ano de 2022, a maioria das vendas dos genéricos se concentrou na faixa de preço abaixo de R$ 20,00 a caixa, favorecendo o acesso da população a medicamentos que atendem às suas necessidades.Veja mais fotos da solenidade no Flickr da Anvisa. Use as setas à esquerda e à direita para navegar e clique na foto para a acessar em diferentes resoluções "
